Parameter,Value,Type,Description,Verification
vsToken,0x...,address,ImmutableVSToken contract address,Deploy vS token first
sonicNFT,0x146D8C75c0b0E8F0BECaFa5c26C8F7C1b5c2C0B1,address,Sonic fNFT contract address,Mainnet verified contract
underlyingToken,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,address,S token contract address,Mainnet verified contract
protocolTreasury,0x...,address,Protocol treasury address,Multisig or DAO address
maturityTimestamp,1756684800,uint256,October 1 2025 00:00:00 UTC,Unix timestamp verification
vaultFreezeTimestamp,1748476800,uint256,January 31 2025 00:00:00 UTC,Unix timestamp verification

Constants,Value,Type,Description,Rationale
KEEPER_INCENTIVE_BPS,5,uint256,0.05% keeper bounty,400:1 bounty/gas ratio on Sonic
PROTOCOL_FEE_BPS,100,uint256,1% protocol fee,Standard DeFi fee
GRACE_PERIOD,180 days,uint256,Redemption grace period,6 months for user convenience
MAX_BATCH_SIZE,20,uint256,Max NFTs per claimBatch,Gas bomb prevention
MIN_NFT_FACE,100e18,uint256,100 S minimum NFT value,Prevents dust grief attacks 